month_start,window_N,window_M,ic_score,is_optimal
2020-08-01,50,100,0.0338574926788717,0
2020-08-01,55,100,0.024007134276510442,0
2020-08-01,60,100,0.06786603743927883,0
2020-08-01,10,150,0.15984147150068298,0
2020-08-01,15,150,0.1323939510823558,0
2020-08-01,20,150,0.08397641803055636,0
2020-08-01,25,150,0.039455829935741225,0
2020-08-01,30,150,0.019414227106520195,0
2020-08-01,35,150,0.03884072948765602,0
2020-08-01,40,150,0.06452256256703591,0
2020-08-01,45,150,0.05098169880937705,0
2020-08-01,50,150,0.002163652266208345,0
2020-08-01,55,150,-0.0030624296944151597,0
2020-08-01,60,150,0.028339458978617584,0
2020-08-01,10,200,0.15251833621067645,0
2020-08-01,15,200,0.1214945352117045,0
2020-08-01,20,200,0.07301198429931881,0
2020-08-01,25,200,0.029413086691771728,0
2020-08-01,30,200,0.01053556077950939,0
2020-08-01,35,200,0.02986126732779652,0
2020-08-01,40,200,0.055572178344660834,0
2020-08-01,45,200,0.043988476429110135,0
2020-08-01,50,200,-0.0033626331216327996,0
2020-08-01,55,200,-0.008453292415483055,0
2020-08-01,60,200,0.022165128305831283,0
2020-09-01,10,100,0.17820063586630955,1
2020-09-01,15,100,0.16982644172702385,0
2020-09-01,20,100,0.14430309849859255,0
2020-09-01,25,100,0.13724656173058017,0
2020-09-01,30,100,0.0793358126606752,0
2020-09-01,35,100,0.07707370087928511,0
2020-09-01,40,100,0.05970879550065281,0
2020-09-01,45,100,-0.0032862370897377238,0
2020-09-01,50,100,0.013435088828531398,0
2020-09-01,55,100,0.04031705813440128,0
2020-09-01,60,100,0.07563264667581332,0
2020-09-01,10,150,0.17456591192421433,0
2020-09-01,15,150,0.15567423173989975,0
2020-09-01,20,150,0.1260038370018388,0
2020-09-01,25,150,0.12294006116721976,0
2020-09-01,30,150,0.059406817960439486,0
2020-09-01,35,150,0.043709829036737695,0
2020-09-01,40,150,0.020809030577866348,0
2020-09-01,45,150,-0.04104233233784462,0
2020-09-01,50,150,-0.031536587630165584,0
2020-09-01,55,150,-0.007202269035392324,0
2020-09-01,60,150,0.02035784839707496,0
2020-09-01,10,200,0.16212663266112334,0
2020-09-01,15,200,0.13392356786405815,0
2020-09-01,20,200,0.09332609571249743,0
2020-09-01,25,200,0.08642563329687604,0
2020-09-01,30,200,0.01843679086688884,0
2020-09-01,35,200,0.005690885577075054,0
2020-09-01,40,200,-0.021033075185377337,0
2020-09-01,45,200,-0.0826391679283944,0
2020-09-01,50,200,-0.07141962185303623,0
2020-09-01,55,200,-0.041694246313454815,0
2020-09-01,60,200,-0.014193994215651304,0
2020-10-01,10,100,0.14404239540051383,0
2020-10-01,15,100,0.1626381943719147,0
2020-10-01,20,100,0.1536284798136158,0
2020-10-01,25,100,0.16184846087767873,0
2020-10-01,30,100,0.11802929864321676,0
2020-10-01,35,100,0.1555064719554804,0
2020-10-01,40,100,0.1609955050686615,0
2020-10-01,45,100,0.16521233999856952,1
2020-10-01,50,100,0.1269570450826835,0
2020-10-01,55,100,0.129706235876063,0
2020-10-01,60,100,0.15158835629779932,0
2020-10-01,10,150,0.13380502219040757,0
2020-10-01,15,150,0.14294469472696858,0
2020-10-01,20,150,0.14291198542866076,0
2020-10-01,25,150,0.15728270604374872,0
2020-10-01,30,150,0.1143673180529642,0
2020-10-01,35,150,0.1562091468182064,0
2020-10-01,40,150,0.16226777843566556,0
2020-10-01,45,150,0.16461327588465227,0
2020-10-01,50,150,0.12160132653816343,0
2020-10-01,55,150,0.11868600541807227,0
2020-10-01,60,150,0.1300471799606852,0
2020-10-01,10,200,0.11118718602876555,0
2020-10-01,15,200,0.11083213739405545,0
2020-10-01,20,200,0.09589621515524513,0
2020-10-01,25,200,0.11541172363654142,0
2020-10-01,30,200,0.06641239158408317,0
2020-10-01,35,200,0.10377230469077993,0
2020-10-01,40,200,0.11051137338458761,0
2020-10-01,45,200,0.12561944181716939,0
2020-10-01,50,200,0.07850151200589556,0
2020-10-01,55,200,0.06808957166671302,0
2020-10-01,60,200,0.067189335141383,0
2020-11-01,10,100,0.12730297505406016,0
2020-11-01,15,100,0.1009326592871244,0
2020-11-01,20,100,0.06666484694802038,0
2020-11-01,25,100,0.09168195310678516,0
2020-11-01,30,100,-0.031246941199051,0
2020-11-01,35,100,0.04981090124266858,0
2020-11-01,40,100,0.05009238777926818,0
2020-11-01,45,100,0.13658833542978702,0
2020-11-01,50,100,0.006452133903211499,0
2020-11-01,55,100,-0.04076140135622742,0
2020-11-01,60,100,-0.0330808997546365,0
2020-11-01,10,150,0.13029165561223444,0
2020-11-01,15,150,0.09822604603016898,0
2020-11-01,20,150,0.0669005562741394,0
2020-11-01,25,150,0.0978295258271666,0
2020-11-01,30,150,-0.020475191237728684,0
2020-11-01,35,150,0.06183891623198772,0
2020-11-01,40,150,0.05806699399586295,0
2020-11-01,45,150,0.13750569676810015,1
2020-11-01,50,150,-0.0017407101992078483,0
2020-11-01,55,150,-0.04716567284744907,0
2020-11-01,60,150,-0.03643916588331915,0
2020-11-01,10,200,0.12751056148982945,0
2020-11-01,15,200,0.09747154119130867,0
2020-11-01,20,200,0.0669566117137242,0
2020-11-01,25,200,0.09703447699266428,0
2020-11-01,30,200,-0.02001674977349781,0
2020-11-01,35,200,0.06135447212064934,0
2020-11-01,40,200,0.058815007296475326,0
2020-11-01,45,200,0.13566465562301924,0
2020-11-01,50,200,-0.004008802315985032,0
2020-11-01,55,200,-0.04819094638900494,0
2020-11-01,60,200,-0.03694315452384128,0
2020-12-01,10,100,0.06744775519310003,0
2020-12-01,15,100,-0.08203856016421555,0
2020-12-01,20,100,0.04239661409411123,0
2020-12-01,25,100,0.2544225343379032,0
2020-12-01,30,100,0.1938818560290576,0
2020-12-01,35,100,0.2601182259351364,0
2020-12-01,40,100,0.21500457914986246,0
2020-12-01,45,100,0.2763636334622569,1
2020-12-01,50,100,0.017360917289504292,0
2020-12-01,55,100,-0.10248077136006284,0
2020-12-01,60,100,-0.1080330394451375,0
2020-12-01,10,150,0.08091533300354606,0
2020-12-01,15,150,-0.07576544012069747,0
2020-12-01,20,150,0.05456924845894448,0
2020-12-01,25,150,0.2677171446559495,0
2020-12-01,30,150,0.19883555880877044,0
2020-12-01,35,150,0.2607332897034871,0
2020-12-01,40,150,0.20680624670375786,0
2020-12-01,45,150,0.2649510772986782,0
2020-12-01,50,150,0.015156126220620942,0
2020-12-01,55,150,-0.09030758806508755,0
2020-12-01,60,150,-0.09713508516407522,0
2020-12-01,10,200,0.08178087687992847,0
2020-12-01,15,200,-0.06905945245887672,0
2020-12-01,20,200,0.061190899348744957,0
2020-12-01,25,200,0.2758628636153426,0
2020-12-01,30,200,0.20344668480376127,0
2020-12-01,35,200,0.26086050749524897,0
2020-12-01,40,200,0.20660612501430012,0
2020-12-01,45,200,0.2607006340587655,0
2020-12-01,50,200,0.0055576415056293625,0
2020-12-01,55,200,-0.10221089979713609,0
2020-12-01,60,200,-0.10963273878957926,0
2021-01-01,10,100,0.09008818566738687,0
2021-01-01,15,100,-0.08084190447826038,0
